Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
k99_10126_1	k99_10126	3	341	+	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	PARTIAL_CONTIG_ENDP	113	180	62.78	99.12	113	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
k99_14593_1	k99_14593	2	649	-	tet(40)	tetracycline efflux MFS transporter Tet(40)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDP	216	406	53.20	99.07	216	WP_009247026.1	tetracycline efflux MFS transporter Tet(40)	NA	NA
k99_16461_2	k99_16461	537	989	+	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDP	151	287	52.61	100.00	151	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
k99_18448_2	k99_18448	936	1712	-	aad9	ANT(9) family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	259	258	100.00	100.00	258	WP_002578722.1	ANT(9) family aminoglycoside nucleotidyltransferase	NF012212.1	ANT(9) family aminoglycoside nucleotidyltransferase
k99_20223_1	k99_20223	3	425	-	erm(G)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/LINCOSAMIDE/STREPTOGRAMIN/TYLOSIN	PARTIAL_CONTIG_ENDP	141	244	57.79	100.00	141	WP_014387027.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G)	NA	NA
k99_2130_1	k99_2130	170	1042	-	ant(6)	aminoglycoside 6-nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	HMM	291	285	97.54	67.63	278	WP_003454325.1	aminoglycoside 6-nucleotidyltransferase	NF033084.2	aminoglycoside 6-nucleotidyltransferase
k99_22050_2	k99_22050	145	657	-	lnu(AN2)	lincosamide nucleotidyltransferase Lnu(AN2)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTP	171	170	100.00	99.41	170	WP_004308783.1	lincosamide nucleotidyltransferase Lnu(AN2)	NF000153.1	lincosamide nucleotidyltransferase Lnu(AN2)
k99_22050_3	k99_22050	682	1887	-	mef(En2)	macrolide efflux MFS transporter Mef(En2)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	402	401	100.00	99.25	401	WP_063853729.1	macrolide efflux MFS transporter Mef(En2)	NF000154.1	macrolide efflux MFS transporter Mef(En2)
k99_24624_1	k99_24624	28	765	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTP	246	245	100.00	99.59	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
k99_28387_3	k99_28387	1036	2253	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	INTERNAL_STOP	406	408	99.26	99.01	405	WP_012102963.1	macrolide efflux MFS transporter Mef(A)	NF000245.1	macrolide efflux MFS transporter Mef(A)
